"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"FIN","Finland","M","Men","TOTAL","Total","2022","2022",2739607,,
"FIN","Finland","M","Men","TOTAL","Total","2023","2023",2743698,,
"FIN","Finland","M","Men","TOTAL","Total","2024","2024",2747494,,
"FIN","Finland","M","Men","TOTAL","Total","2025","2025",2750949,,
"FIN","Finland","M","Men","TOTAL","Total","2026","2026",2754048,,
"FIN","Finland","M","Men","TOTAL","Total","2027","2027",2756785,,
"FIN","Finland","M","Men","TOTAL","Total","2028","2028",2759132,,
"FIN","Finland","M","Men","TOTAL","Total","2029","2029",2761087,,
"FIN","Finland","M","Men","TOTAL","Total","2030","2030",2762633,,
"FIN","Finland","T","Total","TOTAL","Total","2021","2021",5533930,,
"FIN","Finland","T","Total","TOTAL","Total","2022","2022",5539762,,
"FIN","Finland","T","Total","TOTAL","Total","2023","2023",5545162,,
"FIN","Finland","T","Total","TOTAL","Total","2024","2024",5550107,,
"FIN","Finland","T","Total","TOTAL","Total","2025","2025",5554491,,
"FIN","Finland","T","Total","TOTAL","Total","2026","2026",5558285,,
"FIN","Finland","T","Total","TOTAL","Total","2027","2027",5561420,,
"FIN","Finland","T","Total","TOTAL","Total","2028","2028",5563842,,
"FIN","Finland","T","Total","TOTAL","Total","2029","2029",5565526,,
"FIN","Finland","T","Total","TOTAL","Total","2030","2030",5566436,,
"FRA","France","W","Women","TOTAL","Total","2021","2021",34875476,,
"FRA","France","W","Women","TOTAL","Total","2022","2022",34969657,,
"FRA","France","W","Women","TOTAL","Total","2023","2023",35062784,,
"FRA","France","W","Women","TOTAL","Total","2024","2024",35155176,,
"FRA","France","W","Women","TOTAL","Total","2025","2025",35244384,,
"FRA","France","W","Women","TOTAL","Total","2026","2026",35329719,,
"FRA","France","W","Women","TOTAL","Total","2027","2027",35413285,,
"FRA","France","W","Women","TOTAL","Total","2028","2028",35495344,,
"FRA","France","W","Women","TOTAL","Total","2029","2029",35576035,,
"FRA","France","W","Women","TOTAL","Total","2030","2030",35655377,,
"FRA","France","M","Men","TOTAL","Total","2021","2021",32578879,,
"FRA","France","M","Men","TOTAL","Total","2022","2022",32653141,,
"FRA","France","M","Men","TOTAL","Total","2023","2023",32726527,,
"FRA","France","M","Men","TOTAL","Total","2024","2024",32799305,,
"FRA","France","M","Men","TOTAL","Total","2025","2025",32868572,,
"FRA","France","M","Men","TOTAL","Total","2026","2026",32932796,,
"FRA","France","M","Men","TOTAL","Total","2027","2027",32993654,,
"FRA","France","M","Men","TOTAL","Total","2028","2028",33051472,,
"FRA","France","M","Men","TOTAL","Total","2029","2029",33106502,,
"FRA","France","M","Men","TOTAL","Total","2030","2030",33158918,,
"FRA","France","T","Total","TOTAL","Total","2021","2021",67454355,,
"FRA","France","T","Total","TOTAL","Total","2022","2022",67622798,,
"FRA","France","T","Total","TOTAL","Total","2023","2023",67789311,,
"FRA","France","T","Total","TOTAL","Total","2024","2024",67954481,,
"FRA","France","T","Total","TOTAL","Total","2025","2025",68112956,,
"FRA","France","T","Total","TOTAL","Total","2026","2026",68262515,,
"FRA","France","T","Total","TOTAL","Total","2027","2027",68406939,,
"FRA","France","T","Total","TOTAL","Total","2028","2028",68546816,,
"FRA","France","T","Total","TOTAL","Total","2029","2029",68682537,,
"FRA","France","T","Total","TOTAL","Total","2030","2030",68814295,,
"DEU","Germany","W","Women","TOTAL","Total","2021","2021",42204278,,
"DEU","Germany","W","Women","TOTAL","Total","2022","2022",42251318,,
"DEU","Germany","W","Women","TOTAL","Total","2023","2023",42287633,,
"DEU","Germany","W","Women","TOTAL","Total","2024","2024",42312616,,
"DEU","Germany","W","Women","TOTAL","Total","2025","2025",42328921,,
"DEU","Germany","W","Women","TOTAL","Total","2026","2026",42340208,,
"DEU","Germany","W","Women","TOTAL","Total","2027","2027",42347322,,
"DEU","Germany","W","Women","TOTAL","Total","2028","2028",42350612,,
"DEU","Germany","W","Women","TOTAL","Total","2029","2029",42350518,,
"DEU","Germany","W","Women","TOTAL","Total","2030","2030",42347591,,
"DEU","Germany","M","Men","TOTAL","Total","2021","2021",41094923,,
"DEU","Germany","M","Men","TOTAL","Total","2022","2022",41130095,,
"DEU","Germany","M","Men","TOTAL","Total","2023","2023",41151607,,
"DEU","Germany","M","Men","TOTAL","Total","2024","2024",41159522,,
"DEU","Germany","M","Men","TOTAL","Total","2025","2025",41158125,,
"DEU","Germany","M","Men","TOTAL","Total","2026","2026",41152056,,
"DEU","Germany","M","Men","TOTAL","Total","2027","2027",41142047,,
"DEU","Germany","M","Men","TOTAL","Total","2028","2028",41128700,,
"DEU","Germany","M","Men","TOTAL","Total","2029","2029",41112648,,
"DEU","Germany","M","Men","TOTAL","Total","2030","2030",41094480,,
"DEU","Germany","T","Total","TOTAL","Total","2021","2021",83299201,,
"DEU","Germany","T","Total","TOTAL","Total","2022","2022",83381413,,
"DEU","Germany","T","Total","TOTAL","Total","2023","2023",83439240,,
"DEU","Germany","T","Total","TOTAL","Total","2024","2024",83472138,,
"DEU","Germany","T","Total","TOTAL","Total","2025","2025",83487046,,
"DEU","Germany","T","Total","TOTAL","Total","2026","2026",83492264,,
"DEU","Germany","T","Total","TOTAL","Total","2027","2027",83489369,,
"DEU","Germany","T","Total","TOTAL","Total","2028","2028",83479312,,
"DEU","Germany","T","Total","TOTAL","Total","2029","2029",83463166,,
"DEU","Germany","T","Total","TOTAL","Total","2030","2030",83442071,,
"GRC","Greece","W","Women","TOTAL","Total","2021","2021",5464201,,
"GRC","Greece","W","Women","TOTAL","Total","2022","2022",5442061,,
"GRC","Greece","W","Women","TOTAL","Total","2023","2023",5419243,,
"GRC","Greece","W","Women","TOTAL","Total","2024","2024",5395750,,
"GRC","Greece","W","Women","TOTAL","Total","2025","2025",5372533,,
"GRC","Greece","W","Women","TOTAL","Total","2026","2026",5349944,,
"GRC","Greece","W","Women","TOTAL","Total","2027","2027",5327439,,
"GRC","Greece","W","Women","TOTAL","Total","2028","2028",5305083,,
"GRC","Greece","W","Women","TOTAL","Total","2029","2029",5282914,,
"GRC","Greece","W","Women","TOTAL","Total","2030","2030",5260938,,
"GRC","Greece","M","Men","TOTAL","Total","2021","2021",5184890,,
"GRC","Greece","M","Men","TOTAL","Total","2022","2022",5171211,,
"GRC","Greece","M","Men","TOTAL","Total","2023","2023",5154916,,
"GRC","Greece","M","Men","TOTAL","Total","2024","2024",5136249,,
"GRC","Greece","M","Men","TOTAL","Total","2025","2025",5116741,,
"GRC","Greece","M","Men","TOTAL","Total","2026","2026",5097553,,
"GRC","Greece","M","Men","TOTAL","Total","2027","2027",5078438,,
"GRC","Greece","M","Men","TOTAL","Total","2028","2028",5059461,,
"GRC","Greece","M","Men","TOTAL","Total","2029","2029",5040670,,
"GRC","Greece","M","Men","TOTAL","Total","2030","2030",5022077,,
"GRC","Greece","T","Total","TOTAL","Total","2021","2021",10649091,,
"GRC","Greece","T","Total","TOTAL","Total","2022","2022",10613272,,
"GRC","Greece","T","Total","TOTAL","Total","2023","2023",10574159,,
"GRC","Greece","T","Total","TOTAL","Total","2024","2024",10531999,,
"GRC","Greece","T","Total","TOTAL","Total","2025","2025",10489274,,
"GRC","Greece","T","Total","TOTAL","Total","2026","2026",10447497,,
"GRC","Greece","T","Total","TOTAL","Total","2027","2027",10405877,,
"GRC","Greece","T","Total","TOTAL","Total","2028","2028",10364544,,
"GRC","Greece","T","Total","TOTAL","Total","2029","2029",10323584,,
"GRC","Greece","T","Total","TOTAL","Total","2030","2030",10283015,,
"HUN","Hungary","W","Women","TOTAL","Total","2021","2021",5069139,,
"HUN","Hungary","W","Women","TOTAL","Total","2022","2022",5056334,,
"HUN","Hungary","W","Women","TOTAL","Total","2023","2023",5043793,,
"HUN","Hungary","W","Women","TOTAL","Total","2024","2024",5031368,,
"HUN","Hungary","W","Women","TOTAL","Total","2025","2025",5019121,,
"HUN","Hungary","W","Women","TOTAL","Total","2026","2026",5007097,,
"HUN","Hungary","W","Women","TOTAL","Total","2027","2027",4995104,,
"HUN","Hungary","W","Women","TOTAL","Total","2028","2028",4983052,,
"HUN","Hungary","W","Women","TOTAL","Total","2029","2029",4970851,,
"HUN","Hungary","W","Women","TOTAL","Total","2030","2030",4958478,,
"HUN","Hungary","M","Men","TOTAL","Total","2021","2021",4681734,,
"HUN","Hungary","M","Men","TOTAL","Total","2022","2022",4679909,,
"HUN","Hungary","M","Men","TOTAL","Total","2023","2023",4677274,,
"HUN","Hungary","M","Men","TOTAL","Total","2024","2024",4673913,,
"HUN","Hungary","M","Men","TOTAL","Total","2025","2025",4670341,,
"HUN","Hungary","M","Men","TOTAL","Total","2026","2026",4666915,,
"HUN","Hungary","M","Men","TOTAL","Total","2027","2027",4663479,,
"HUN","Hungary","M","Men","TOTAL","Total","2028","2028",4659922,,
"HUN","Hungary","M","Men","TOTAL","Total","2029","2029",4656212,,
"HUN","Hungary","M","Men","TOTAL","Total","2030","2030",4652302,,
"HUN","Hungary","T","Total","TOTAL","Total","2021","2021",9750873,,
